date,time,city,temp,feels_like,humidity,pressure,wind_speed,weather_main
2026-02-01,14:22:26,Thrissur,33.89,34.76,38,1010,1.92,Clear
2026-02-01,14:22:52,Trivandrum,31.99,38.97,66,1010,2.57,Haze
2026-02-02,22:26::45,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:26::46,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:26::47,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:27::19,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:28::36,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:28::38,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:29::47,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:29::48,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:29::48,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:30::19,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:30::20,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:30::21,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:31::28,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:31::33,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:31::33,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:31::35,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:32::06,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:36::44,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:36::44,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:36::45,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:37::16,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:37::17,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:37::18,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:42::59,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:42::59,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:43::00,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:43::31,Thrissur,24.53,25.26,85,1014,1.16,Clouds
2026-02-02,22:43::32,Jalandhar,12.23,11.52,77,1019,1.27,Clouds
2026-02-02,22:43::33,Dubai,22.96,22.36,40,1019,2.57,Clear
2026-02-02,22:44::04,Thrissur,24.53,25.26,85,1014,1.16,Clouds
